variant,baseline,target_wave,predictor,n_train,n_observed,coverage,observed_levels,globally_eligible,training_eligible
1290_original_scale,lag_covariates,w15,pi_2320,15825,15823,0.9998736176935229,8,TRUE,TRUE
1290_original_scale,lag_covariates,w15,pi_2591,15825,15504,0.9797156398104265,13,TRUE,TRUE
1290_original_scale,lag_covariates,w22,kp_010,23236,23236,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w22,kp_020,23236,14729,0.6338870717851609,6,TRUE,TRUE
1290_original_scale,lag_covariates,w22,kp_1130,23236,23236,1,9,TRUE,TRUE
1290_original_scale,lag_covariates,w22,kp_1500,23236,23236,1,14,TRUE,TRUE
1290_original_scale,lag_covariates,w22,kp_780,23236,23236,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w22,kp_820,23236,23236,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w22,pi_2280,23236,23228,0.999655706662076,2,TRUE,TRUE
1290_original_scale,lag_covariates,w22,pi_2290s,23236,23228,0.999655706662076,45,FALSE,FALSE
1290_original_scale,lag_covariates,w22,pi_2320,23236,23228,0.999655706662076,8,TRUE,TRUE
1290_original_scale,lag_covariates,w22,pi_2591,23236,22760,0.9795145463935273,13,TRUE,TRUE
1290_original_scale,lag_covariates,w23,kp_010,34124,34124,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w23,kp_020,34124,25617,0.7507033173133278,6,TRUE,TRUE
1290_original_scale,lag_covariates,w23,kp_1130,34124,34124,1,9,TRUE,TRUE
1290_original_scale,lag_covariates,w23,kp_1500,34124,34124,1,14,TRUE,TRUE
1290_original_scale,lag_covariates,w23,kp_780,34124,34124,1,7,TRUE,TRUE
1290_original_scale,lag_covariates,w23,kp_820,34124,34124,1,7,TRUE,TRUE
1290_original_scale,lag_covariates,w23,pi_2280,34124,34111,0.9996190364552807,2,TRUE,TRUE
1290_original_scale,lag_covariates,w23,pi_2290s,34124,34111,0.9996190364552807,49,FALSE,FALSE
1290_original_scale,lag_covariates,w23,pi_2320,34124,34111,0.9996190364552807,8,TRUE,TRUE
1290_original_scale,lag_covariates,w23,pi_2591,34124,33466,0.9807173836595944,13,TRUE,TRUE
1290_original_scale,lag_covariates,w25,kp_010,43596,43596,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w25,kp_020,43596,35089,0.8048674190292687,7,TRUE,TRUE
1290_original_scale,lag_covariates,w25,kp_1130,43596,43596,1,9,TRUE,TRUE
1290_original_scale,lag_covariates,w25,kp_1500,43596,43596,1,14,TRUE,TRUE
1290_original_scale,lag_covariates,w25,kp_780,43596,43596,1,7,TRUE,TRUE
1290_original_scale,lag_covariates,w25,kp_820,43596,43596,1,7,TRUE,TRUE
1290_original_scale,lag_covariates,w25,pi_2280,43596,43578,0.999587118084228,2,TRUE,TRUE
1290_original_scale,lag_covariates,w25,pi_2290s,43596,43578,0.999587118084228,49,FALSE,FALSE
1290_original_scale,lag_covariates,w25,pi_2320,43596,43578,0.999587118084228,8,TRUE,TRUE
1290_original_scale,lag_covariates,w25,pi_2591,43596,42783,0.9813515001376273,13,TRUE,TRUE
1290_original_scale,lag_covariates,w26,kp_010,51993,51993,1,6,TRUE,TRUE
1290_original_scale,lag_covariates,w26,kp_020,51993,43486,0.8363818206297001,7,TRUE,TRUE
